"","country","track.name","chart_number","track.popularity","artist.name","track.album.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type"
"34","Austria","Lonely (with benny blanco)",17,95,"Justin Bieber","Lonely (with benny blanco)",0.631,0.239,11,-7.071,0,0.0398,0.864,0,0.116,0.0927,79.859,"audio_features"
"35","Austria","Therefore I Am",16,95,"Billie Eilish","Therefore I Am",0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,"audio_features"
"36","Austria","Hallelujah",15,77,"Pentatonix","A Pentatonix Christmas",0.322,0.377,7,-7.385,0,0.0356,0.454,0,0.338,0.366,118.669,"audio_features"
"37","Austria","Angeklagt",14,73,"Bonez MC","Hollywood Uncut",0.658,0.624,1,-9.155,0,0.0915,0.171,0.00588,0.116,0.314,181.942,"audio_features"
"38","Austria","Whoopty",13,90,"CJ","Whoopty",0.711,0.598,3,-7.621,0,0.182,0.19,0,0.15,0.737,140.175,"audio_features"
"39","Austria","Christmas Time",12,66,"Bryan Adams","Christmas EP",0.503,0.583,0,-4.324,1,0.0252,0.469,0,0.103,0.323,77.321,"audio_features"
"40","Austria","Head & Heart (feat. MNEK)",11,93,"Joel Corry","Head & Heart (feat. MNEK)",0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,"audio_features"
"41","Austria","Head Shoulders Knees & Toes (feat. Norma Jean Martine)",10,84,"Ofenbach","Head Shoulders Knees & Toes (feat. Norma Jean Martine)",0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962,"audio_features"
"42","Austria","Jingle Bell Rock - Daryl's Version",9,81,"Daryl Hall & John Oates","Jingle Bell Rock",0.666,0.841,2,-3.592,1,0.0312,0.613,0,0.113,0.84,128.706,"audio_features"
"43","Austria","HOLIDAY",8,90,"Lil Nas X","HOLIDAY",0.81,0.511,5,-6.924,0,0.164,0.12,0,0.0832,0.837,151.947,"audio_features"
"44","Austria","Verlierer",7,75,"LUNA","Verlierer",0.643,0.521,2,-6.065,0,0.195,0.652,0,0.111,0.332,78.105,"audio_features"
"45","Austria","Wonder",6,73,"Shawn Mendes","Wonder",0.442,0.631,1,-5.096,0,0.05,0.136,2.29e-05,0.133,0.129,139.774,"audio_features"
"46","Austria","Sleigh Ride",5,65,"The Ronettes","Sleigh Ride",0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,"audio_features"
"47","Austria","Lemonade (feat. Gunna, Don Toliver & NAV)",4,90,"Internet Money","B4 The Storm",0.8,0.658,1,-6.142,0,0.079,0.25,0,0.111,0.462,140.042,"audio_features"
"48","Austria","Jingle Bell Rock",3,87,"Bobby Helms","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)",0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,"audio_features"
"49","Austria","Mistletoe",2,88,"Justin Bieber","Under The Mistletoe (Deluxe Edition)",0.657,0.56,6,-9.049,0,0.0467,0.498,0,0.0794,0.854,161.993,"audio_features"
"50","Austria","ROCKSTAR (feat. Roddy Ricch)",1,93,"DaBaby","BLAME IT ON BABY",0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,"audio_features"
"51","Andorra","Más De Lo Que Aposté",50,75,"Aitana","Más De Lo Que Aposté",0.621,0.918,1,-3.01,0,0.0552,0.0754,0,0.13,0.834,151.988,"audio_features"
"52","Andorra","In My Mind",49,82,"Dynoro","In My Mind",0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,"audio_features"
"53","Andorra","Wake Me Up Before You Go-Go",48,79,"Wham!","Make It Big",0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,"audio_features"
"54","Andorra","Somewhere Only We Know",47,70,"Keane","Hopes And Fears",0.453,0.655,9,-4.22,1,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,"audio_features"
"55","Andorra","Yo Te Esperaré",46,69,"Cali Y El Dandee","3 A.M.",0.481,0.81,9,-5.704,1,0.133,0.234,0,0.0809,0.328,175.697,"audio_features"
"56","Andorra","Vivir (with Estopa)",45,60,"Rozalén","Vivir (with Estopa)",0.715,0.906,8,-5.478,1,0.28,0.353,0,0.112,0.777,101.088,"audio_features"
"57","Andorra","For The Night (feat. Lil Baby & DaBaby)",44,94,"Pop Smoke","Shoot For The Stars Aim For The Moon",0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,"audio_features"
"58","Andorra","Portales",43,60,"Dani Martín","Lo Que Me Dé la Gana",0.447,0.519,9,-4.872,1,0.0314,0.175,0,0.0872,0.231,76.857,"audio_features"
"59","Andorra","Chasing Cars",42,78,"Snow Patrol","Eyes Open",0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016,"audio_features"
"60","Andorra","Ella",41,63,"Bebe","Pafuera Telarañas",0.843,0.797,9,-6.746,0,0.0586,0.269,0,0.0465,0.866,118.006,"audio_features"
"61","Andorra","Ponte Pa' Mi",40,61,"Rauw Alejandro","Afrodisíaco",0.808,0.625,8,-4.971,0,0.16,0.394,0,0.148,0.647,85.016,"audio_features"
"62","Andorra","Otro Trago",39,76,"Sech","Sueños",0.746,0.7,0,-4.669,1,0.341,0.136,0.000159,0.11,0.619,176.044,"audio_features"
"63","Andorra","Viva La Vida",38,80,"Coldplay","Viva La Vida or Death and All His Friends",0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,"audio_features"
"64","Andorra","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",37,77,"Justin Quiles","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) [Remix]",0.743,0.709,3,-3.922,0,0.0879,0.0451,5.18e-06,0.0809,0.831,170.001,"audio_features"
"65","Andorra","What You Know Bout Love",36,95,"Pop Smoke","Shoot For The Stars Aim For The Moon",0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,"audio_features"
"66","Andorra","Falling",35,88,"Harry Styles","Fine Line",0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,"audio_features"
"67","Andorra","Entre Sobras Y Sobras Me Faltas",34,58,"Antonio Orozco","Aviónica",0.416,0.358,10,-8.535,1,0.0462,0.476,0,0.111,0.116,80.643,"audio_features"
"68","Andorra","Alors on danse",33,76,"Stromae","Cheese",0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,"audio_features"
"69","Andorra","Jerusalema (feat. Nomcebo Zikode)",32,85,"Master KG","Jerusalema",0.88,0.483,1,-7.012,1,0.0505,0.0185,8.68e-06,0.0607,0.827,124.009,"audio_features"
"70","Andorra","(I Can't Get No) Satisfaction - Mono Version",31,77,"The Rolling Stones","Out Of Our Heads",0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,"audio_features"
"71","Andorra","Un Año",30,71,"Sebastian Yatra","FANTASÍA",0.773,0.378,1,-7.062,0,0.0531,0.14,0,0.133,0.513,94.946,"audio_features"
"72","Andorra","Umbrella",29,65,"Rihanna","Good Girl Gone Bad",0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,"audio_features"
"73","Andorra","Quiéreme Mientras Se Pueda",28,85,"Manuel Turizo","Quiéreme Mientras Se Pueda",0.793,0.782,4,-3.945,1,0.0582,0.447,0,0.124,0.81,143.86,"audio_features"
"74","Andorra","positions",27,97,"Ariana Grande","Positions",0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,"audio_features"
"75","Andorra","Si Tú La Quieres",26,76,"David Bisbal","Si Tú La Quieres",0.748,0.778,0,-4.582,0,0.0685,0.147,1.57e-06,0.093,0.607,100.053,"audio_features"
"76","Andorra","Roxanne",25,76,"The Police","Outlandos D'Amour (Remastered 2003)",0.618,0.748,0,-8.905,1,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,"audio_features"
"77","Andorra","Adore You",24,88,"Harry Styles","Fine Line",0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,"audio_features"
"78","Andorra","I'm Yours",23,73,"Jason Mraz","We Sing. We Dance. We Steal Things.",0.686,0.457,11,-8.322,1,0.0468,0.595,0,0.105,0.718,150.953,"audio_features"
"79","Andorra","Mood (feat. iann dior)",22,98,"24kGoldn","Mood (feat. iann dior)",0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,"audio_features"
"80","Andorra","Walk Of Life",21,76,"Dire Straits","Brothers In Arms",0.462,0.918,4,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.427,"audio_features"
"81","Andorra","Motorola",20,75,"Morad","Motorola",0.88,0.741,5,-5.377,0,0.0553,0.226,2.96e-05,0.0894,0.779,129.965,"audio_features"
"82","Andorra","Hips Don't Lie (feat. Wyclef Jean)",19,83,"Shakira","Oral Fixation, Vol. 2 (Expanded Edition)",0.778,0.824,10,-5.892,0,0.0712,0.284,0,0.405,0.756,100.024,"audio_features"
"83","Andorra","NASA",18,65,"Babi","NASA",0.582,0.4,1,-10.999,1,0.481,0.817,0.0333,0.124,0.413,139.187,"audio_features"
"84","Andorra","Golden",17,89,"Harry Styles","Fine Line",0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,"audio_features"
"85","Andorra","La Curiosidad",16,91,"Jay Wheeler","Platonicos",0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,"audio_features"
"86","Andorra","ADMV",15,74,"Maluma","PAPI JUANCHO",0.561,0.39,9,-4.959,1,0.0568,0.819,0,0.126,0.705,163.919,"audio_features"
"87","Andorra","I Gotta Feeling",14,80,"Black Eyed Peas","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,"audio_features"
"88","Andorra","Los Huesos",13,57,"Dani Martín","Lo Que Me Dé la Gana",0.777,0.804,11,-4.808,0,0.228,0.0717,0,0.0637,0.867,165.912,"audio_features"
"89","Andorra","Hey There Delilah",12,81,"Plain White T's","All That We Needed",0.656,0.291,2,-10.572,1,0.0293,0.872,0,0.114,0.298,103.971,"audio_features"
"90","Andorra","Parce (feat. Justin Quiles)",11,90,"Maluma","PAPI JUANCHO",0.691,0.739,5,-3.09,0,0.229,0.422,3.95e-06,0.11,0.884,83.897,"audio_features"
"91","Andorra","Ayer Me Llamó Mi Ex – Remix",10,81,"KHEA","Ayer Me Llamó Mi Ex – Remix",0.784,0.691,10,-4.972,0,0.0437,0.231,0,0.119,0.548,117.032,"audio_features"
"92","Andorra","Take You Dancing",9,91,"Jason Derulo","Take You Dancing",0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,"audio_features"
"93","Andorra","Carita de Inocente (feat. Myke Towers) - Remix",8,78,"Prince Royce","Carita de Inocente (feat. Myke Towers) [Remix]",0.565,0.781,10,-3.358,0,0.061,0.364,0,0.0984,0.943,129.959,"audio_features"
"94","Andorra","Losing It",7,76,"FISHER","Losing It",0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,"audio_features"
"95","Andorra","Trendy",6,69,"Rvfv","Trendy",0.732,0.748,1,-3.939,0,0.243,0.535,0.000299,0.18,0.418,100.835,"audio_features"
"96","Andorra","Watermelon Sugar",5,93,"Harry Styles","Fine Line",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,"audio_features"
"97","Andorra","Criminal",4,75,"Natti Natasha","Criminal",0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,"audio_features"
"98","Andorra","Wonder",3,73,"Shawn Mendes","Wonder",0.442,0.631,1,-5.096,0,0.05,0.136,2.29e-05,0.133,0.129,139.774,"audio_features"
"99","Andorra","When We Were Young",2,73,"Adele","25",0.381,0.594,3,-5.97,1,0.0486,0.348,0,0.0925,0.273,143.86,"audio_features"
"100","Andorra","Total Eclipse of the Heart",1,77,"Bonnie Tyler","The Very Best of Bonnie Tyler",0.431,0.723,8,-5.887,1,0.056,0.145,0,0.375,0.189,130.547,"audio_features"
"101","Albania","Edhe Sa",50,52,"Kida","Edhe Sa",0.751,0.788,11,-8.339,0,0.249,0.0952,2e-05,0.292,0.602,99.994,"audio_features"
"102","Albania","Nuk Je Bad",49,32,"Noizy","Nuk Je Bad",0.802,0.712,7,-4.058,0,0.153,0.353,0,0.328,0.615,143.978,"audio_features"
"103","Albania","Genjeshter",48,36,"Irkenc Hyka","Genjeshter",0.52,0.496,1,-7.493,0,0.0384,0.611,0,0.0803,0.411,140.338,"audio_features"
"104","Albania","Loca",47,62,"Kidda","Loca",0.806,0.63,7,-8.12,0,0.606,0.469,0.000473,0.105,0.785,190.103,"audio_features"
"105","Albania","Lass los",46,59,"Dhurata Dora","Lass los",0.892,0.547,5,-5.709,0,0.0857,0.0413,5.44e-06,0.103,0.512,103.97,"audio_features"
"106","Albania","Modela",45,59,"Ardian Bujupi","Modela",0.904,0.512,2,-5.314,1,0.123,0.163,0,0.108,0.473,108.005,"audio_features"
"107","Albania","Malli",44,50,"Kidda","Malli",0.565,0.573,3,-6.629,0,0.081,0.547,0,0.132,0.211,114.957,"audio_features"
"108","Albania","Suave",43,34,"Kevin Edmond","Suave",0.713,0.9,3,-4.133,0,0.0499,0.104,0,0.103,0.815,101.001,"audio_features"
"109","Albania","Ca the ti",42,24,"Matolale","Ca the ti",0.851,0.79,0,-5.759,1,0.327,0.174,0,0.139,0.832,138.048,"audio_features"
"110","Albania","Madonna",41,5,"Mozzik","Madonna",0.646,0.775,11,-4.054,1,0.083,0.291,0.264,0.0736,0.698,96.966,"audio_features"
"111","Albania","QE QE",40,60,"Tayna","QE QE",0.64,0.784,7,-2.741,0,0.206,0.0678,0,0.0897,0.714,95.423,"audio_features"
"112","Albania","Flex",39,43,"Capital T","Flex",0.452,0.768,7,-5.867,0,0.211,0.0346,5.39e-06,0.164,0.317,89.96,"audio_features"
"113","Albania","FAVELA",38,52,"Dardan","FAVELA",0.851,0.797,0,-6.504,0,0.0483,0.0505,0,0.0535,0.741,120.021,"audio_features"
"114","Albania","Pishmon",37,55,"Kida","Pishmon",0.778,0.771,0,-5.233,0,0.114,0.477,0,0.188,0.54,94.1,"audio_features"
"115","Albania","Si Përpara",36,47,"Butrint Imeri","Si Përpara",0.556,0.683,2,-6.895,0,0.0654,0.0586,2.82e-05,0.285,0.744,195.947,"audio_features"
"116","Albania","Million $",35,55,"Dafina Zeqiri","Million $",0.745,0.524,7,-7.211,0,0.0422,0.134,1.07e-05,0.131,0.483,66.689,"audio_features"
"117","Albania","24 Bars",34,41,"Melinda Ademi","24 Bars",0.904,0.659,4,-6.608,0,0.325,0.202,0,0.312,0.639,100.299,"audio_features"
"118","Albania","Vone",33,37,"Irkenc Hyka","Vone",0.638,0.662,10,-5.695,0,0.0794,0.19,0.000199,0.0519,0.728,150.127,"audio_features"
"119","Albania","Prita (Acoustic)",32,39,"Butrint Imeri","Acoustic Sessions",0.487,0.464,7,-9.007,0,0.0419,0.864,1.29e-05,0.221,0.404,78.989,"audio_features"
"120","Albania","Flawless",31,42,"Capital T","Flawless",0.853,0.696,8,-7.042,1,0.0761,0.114,0.275,0.0856,0.521,112.007,"audio_features"
"121","Albania","BREAK DOWN",30,46,"Enca","BREAK DOWN",0.56,0.87,8,-5.222,1,0.257,0.0372,0.000986,0.209,0.652,199.932,"audio_features"
"122","Albania","Gg",29,45,"Sin Boy","MM",0.691,0.699,8,-5.655,0,0.0549,0.686,0,0.0615,0.588,100.956,"audio_features"
"123","Albania","Angst",28,61,"Loredana","Angst",0.833,0.677,2,-5.537,1,0.239,0.0284,0,0.0502,0.558,100.073,"audio_features"
"124","Albania","Serenate",27,41,"Majk","Serenate",0.707,0.598,5,-7.759,0,0.174,0.528,0,0.0916,0.33,91.919,"audio_features"
"125","Albania","Ku mete",26,39,"Enca","Ku mete",0.579,0.555,0,-9.272,0,0.102,0.337,4.28e-05,0.277,0.572,120.003,"audio_features"
"126","Albania","All Dem Talk (feat. Gzuz & Dutchavelli)",25,60,"Noizy","All Dem Talk (feat. Gzuz & Dutchavelli)",0.803,0.553,10,-8.299,0,0.331,0.277,4.24e-06,0.0987,0.442,130.016,"audio_features"
"127","Albania","Freestyle",24,41,"Don Xhoni","Freestyle",0.865,0.502,6,-12.643,0,0.37,0.18,0,0.0872,0.878,142.9,"audio_features"
"128","Albania","Tjera Llafe",23,39,"Don Xhoni","Tjera Llafe",0.797,0.798,10,-5.654,0,0.176,0.104,0,0.101,0.56,130.074,"audio_features"
"129","Albania","Paranoia",22,56,"Kida","Paranoia",0.697,0.805,11,-4.255,0,0.112,0.197,0.000153,0.0622,0.332,179.975,"audio_features"
"130","Albania","Bass",21,48,"Tayna","Bass",0.598,0.897,11,-1.891,1,0.308,0.187,0,0.459,0.345,139.678,"audio_features"
"131","Albania","Panorama",20,58,"Ardian Bujupi","Panorama",0.901,0.697,9,-5.569,0,0.0601,0.213,0,0.115,0.644,96.003,"audio_features"
"132","Albania","BABY",19,48,"Mozzik","BABY",0.741,0.712,9,-6.437,0,0.0314,0.171,3.49e-06,0.108,0.877,131.044,"audio_features"
"133","Albania","Dmp",18,48,"Capital T","Dmp",0.74,0.804,9,-6.973,0,0.185,0.122,7.35e-05,0.0819,0.693,100.061,"audio_features"
"134","Albania","Xhep (feat. Dhurata Dora) [Remix]",17,45,"Azet","Xhep (feat. Dhurata Dora) [Remix]",0.647,0.877,2,-4.56,1,0.283,0.0484,0.000351,0.329,0.603,107.587,"audio_features"
"135","Albania","Fajet",16,64,"Dhurata Dora","Fajet",0.88,0.805,2,-3.764,0,0.0594,0.0653,1.14e-05,0.124,0.524,96.991,"audio_features"
"136","Albania","A jo",15,7,"Tayna","A jo",0.682,0.768,10,-3.278,0,0.0636,0.19,1.22e-05,0.229,0.97,92.974,"audio_features"
"137","Albania","A Je Pendu",14,47,"Dafina Zeqiri","A Je Pendu",0.73,0.781,6,-3.586,0,0.0375,0.0414,0.00598,0.155,0.579,100.004,"audio_features"
"138","Albania","Ferrari",13,14,"Dhurata Dora","Ferrari",0.723,0.669,7,-5.573,0,0.109,0.0933,0,0.114,0.603,179.877,"audio_features"
"139","Albania","Aman",12,50,"Dafina Zeqiri","Aman",0.708,0.759,5,-5.916,0,0.208,0.118,1.18e-05,0.107,0.593,183.832,"audio_features"
"140","Albania","I kom kall",11,41,"Yll Limani","I kom kall",0.803,0.643,10,-5.757,0,0.174,0.261,0,0.0885,0.847,94.925,"audio_features"
"141","Albania","Dynja",10,47,"Majk","Dynja",0.785,0.558,6,-10.048,0,0.0722,0.385,7.42e-06,0.131,0.659,100.002,"audio_features"
"142","Albania","LASS MAL",9,47,"Mozzik","LASS MAL",0.815,0.663,10,-5.547,0,0.185,0.487,2.44e-06,0.15,0.681,139.96,"audio_features"
"143","Albania","Sari",8,44,"Sin Boy","MM",0.511,0.723,4,-5.92,0,0.0407,0.867,0,0.626,0.603,96.016,"audio_features"
"144","Albania","Adrenaline",7,47,"Noizy","Adrenaline",0.812,0.621,5,-10.677,1,0.102,0.0437,1.17e-05,0.0663,0.75,137.022,"audio_features"
"145","Albania","Du bist mein",6,64,"Zuna","Du bist mein",0.761,0.556,1,-6.943,1,0.364,0.138,0.000175,0.0976,0.521,187.81,"audio_features"
"146","Albania","Zhytem (Je t’aime)",5,48,"Ghetto Geasy","Zhytem (Je t’aime)",0.731,0.877,5,-4.512,0,0.107,0.102,0.00027,0.172,0.797,156.003,"audio_features"
"147","Albania","Nje here ne jete",4,49,"Cricket","Nje here ne jete",0.635,0.64,5,-5.91,1,0.0493,0.275,5.87e-05,0.193,0.512,119.941,"audio_features"
"148","Albania","Kujt i thu",3,41,"2Ton","Kujt i thu",0.785,0.511,2,-9.357,0,0.0552,0.602,1.45e-05,0.0891,0.606,103.017,"audio_features"
"149","Albania","Parajsa ime",2,46,"Alban Skenderaj","Parajsa ime",0.844,0.733,9,-5.316,1,0.0674,0.184,0,0.158,0.932,146.005,"audio_features"
"150","Albania","Nicht verdient",1,66,"Capital Bra","Nicht verdient",0.719,0.65,11,-7.274,0,0.232,0.381,0,0.167,0.488,77.981,"audio_features"
"151","Topsify","Wildflowers",50,54,"Grouplove","Wildflowers",0.546,0.443,5,-9.467,1,0.0305,0.652,1.73e-05,0.166,0.556,86.91,"audio_features"
"152","Topsify","Break My Heart",49,85,"Dua Lipa","Future Nostalgia",0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,"audio_features"
"153","Topsify","Izgubljeni Trag",48,13,"Zoran Čalić","Izgubljeni Trag",0.448,0.535,7,-9.232,1,0.0299,0.000558,0.00701,0.166,0.382,97.346,"audio_features"
"154","Topsify","Dreams - 2004 Remaster",47,88,"Fleetwood Mac","Rumours (Super Deluxe)",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,"audio_features"
"155","Topsify","All You're Dreaming Of",46,65,"Liam Gallagher","All You're Dreaming Of",0.271,0.503,0,-4.142,1,0.0314,0.75,0.000102,0.0941,0.0742,127.96,"audio_features"
"156","Topsify","All We Got (feat. KIDDO)",45,82,"Robin Schulz","All We Got (feat. KIDDO)",0.504,0.76,4,-4.246,1,0.0426,0.286,0,0.151,0.64,183.933,"audio_features"
