"","country","track.name","chart_number","track.popularity","artist.name","track.album.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","danceability_weighted","energy_weighted","temper"
"72","Andorra","Escriurem",29,56,"Miki Núñez","Amuza",0.307,0.535,7,-6.717,1,0.0412,0.268,0,0.328,0.292,189.472,"audio_features",8.903,15.515,24.418
"73","Andorra","Fortunate Son",28,81,"Creedence Clearwater Revival","Willy And The Poor Boys",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,"audio_features",17.92,18.564,36.484
"74","Andorra","Flamenkito",27,71,"Lérica","Flamenkito",0.73,0.714,0,-2.979,1,0.107,0.0877,0,0.117,0.924,94.896,"audio_features",19.71,19.278,38.988
"75","Andorra","Normal",26,70,"Morad","Normal",0.749,0.654,4,-3.346,0,0.0645,0.546,4.43e-06,0.0906,0.475,90.035,"audio_features",19.474,17.004,36.478
"76","Andorra","DÁKITI",25,74,"Bad Bunny","EL ÚLTIMO TOUR DEL MUNDO",0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,"audio_features",18.275,14.325,32.6
"77","Andorra","Tant de bo",24,53,"Suu","Ventura",0.387,0.464,10,-8.78,1,0.0899,0.562,0.001,0.0628,0.472,89.784,"audio_features",9.288,11.136,20.424
"78","Andorra","Singapur",23,79,"El Alfa","El Androide",0.853,0.909,7,-2.473,1,0.229,0.0522,0.0223,0.129,0.803,112.987,"audio_features",19.619,20.907,40.526
"79","Andorra","Parce (feat. Justin Quiles)",22,90,"Maluma","PAPI JUANCHO",0.691,0.739,5,-3.09,0,0.229,0.422,3.95e-06,0.11,0.884,83.897,"audio_features",15.202,16.258,31.46
"80","Andorra","Dynamite",21,86,"BTS","BE",0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,"audio_features",15.666,16.065,31.731
"81","Andorra","Bohemian Rhapsody - Remastered 2011",20,82,"Queen","A Night At The Opera (2011 Remaster)",0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,"audio_features",8.28,8.08,16.36
"82","Andorra","Girls Just Want to Have Fun",19,77,"Cyndi Lauper","She's So Unusual",0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,"audio_features",13.49,15.181,28.671
"83","Andorra","Train Wreck",18,88,"James Arthur","Back from the Edge",0.311,0.485,6,-5.726,0,0.0365,0.701,0,0.0726,0.225,77.355,"audio_features",5.598,8.73,14.328
"84","Andorra","Compta amb mi",17,50,"Txarango","Som Riu",0.598,0.409,0,-11.183,1,0.0301,0.279,0,0.381,0.448,76.996,"audio_features",10.166,6.953,17.119
"85","Andorra","Del Mar",16,84,"Ozuna","ENOC",0.759,0.636,6,-5.585,1,0.0369,0.0224,0.000143,0.166,0.536,109.976,"audio_features",12.144,10.176,22.32
"86","Andorra","Wonder",15,92,"Shawn Mendes","Wonder",0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,"audio_features",4.995,9.555,14.55
"87","Andorra","Walk On the Wild Side",14,75,"Lou Reed","Transformer",0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,"audio_features",8.05,4.452,12.502
"88","Andorra","Paint It, Black",13,78,"The Rolling Stones","Aftermath",0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,"audio_features",6.032,10.335,16.367
"89","Andorra","La Jeepeta - Remix",12,81,"Nio Garcia","Now Or Never",0.814,0.714,4,-4.65,0,0.207,0.297,4.89e-06,0.091,0.789,176.013,"audio_features",9.768,8.568,18.336
"90","Andorra","Nunca Estoy",11,74,"C. Tangana","Nunca Estoy",0.917,0.377,2,-5.132,1,0.161,0.474,0.00367,0.298,0.398,134.994,"audio_features",10.087,4.147,14.234
"91","Andorra","Mi Cuarto",10,89,"Jerry Di","DI LETRA",0.854,0.525,1,-4.426,1,0.214,0.819,0,0.146,0.63,97.054,"audio_features",8.54,5.25,13.79
"92","Andorra","Papi Chulo",9,84,"Octavian","Papi Chulo",0.866,0.563,11,-6.964,0,0.108,0.185,0,0.0889,0.307,127.954,"audio_features",7.794,5.067,12.861
"93","Andorra","A Thousand Years",8,81,"Christina Perri","A Thousand Years",0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,"audio_features",3.368,3.256,6.624
"94","Andorra","Músic de carrer",7,50,"Txarango","Som Riu",0.719,0.769,5,-6.997,0,0.0305,0.0305,1.01e-06,0.0572,0.78,99.975,"audio_features",5.033,5.383,10.416
"95","Andorra","Vida de Rico",6,91,"Camilo","Vida de Rico",0.824,0.457,6,-5.428,1,0.0543,0.167,0,0.041,0.95,87.977,"audio_features",4.944,2.742,7.686
"96","Andorra","QueLoQue (feat. Paloma Mami)",5,36,"Major Lazer","Music Is The Weapon",0.647,0.813,9,-5.086,1,0.138,0.0365,1.12e-06,0.0884,0.39,170.024,"audio_features",3.235,4.065,7.3
"97","Andorra","my ex's best friend (with blackbear)",4,88,"Machine Gun Kelly","Tickets To My Downfall",0.731,0.675,5,-5.134,0,0.0434,0.00473,0,0.141,0.298,124.939,"audio_features",2.924,2.7,5.624
"98","Andorra","Colocao",3,75,"Nicki Nicole","Colocao",0.811,0.712,10,-3.773,0,0.054,0.28,0,0.106,0.576,90.02,"audio_features",2.433,2.136,4.569
"99","Andorra","Imagine - Remastered 2010",2,77,"John Lennon","Imagine",0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,"audio_features",1.094,0.514,1.608
"100","Andorra","Me Provocas",1,75,"Dynoro","Me Provocas",0.679,0.879,5,-3.321,0,0.0556,0.0115,0.0151,0.343,0.325,126.079,"audio_features",0.679,0.879,1.558
"101","Albania","Edhe Sa",50,52,"Kida","Edhe Sa",0.751,0.788,11,-8.339,0,0.249,0.0952,2e-05,0.292,0.602,99.994,"audio_features",37.55,39.4,76.95
"102","Albania","Nuk Je Bad",49,32,"Noizy","Nuk Je Bad",0.802,0.712,7,-4.058,0,0.153,0.353,0,0.328,0.615,143.978,"audio_features",39.298,34.888,74.186
"103","Albania","Genjeshter",48,35,"Irkenc Hyka","Genjeshter",0.52,0.496,1,-7.493,0,0.0384,0.611,0,0.0803,0.411,140.338,"audio_features",24.96,23.808,48.768
"104","Albania","Loca",47,62,"Kidda","Loca",0.806,0.63,7,-8.12,0,0.606,0.469,0.000473,0.105,0.785,190.103,"audio_features",37.882,29.61,67.492
"105","Albania","Lass los",46,58,"Dhurata Dora","Lass los",0.892,0.547,5,-5.709,0,0.0857,0.0413,5.44e-06,0.103,0.512,103.97,"audio_features",41.032,25.162,66.194
"106","Albania","Modela",45,59,"Ardian Bujupi","Modela",0.904,0.512,2,-5.314,1,0.123,0.163,0,0.108,0.473,108.005,"audio_features",40.68,23.04,63.72
"107","Albania","Malli",44,53,"Kidda","Malli",0.565,0.573,3,-6.629,0,0.081,0.547,0,0.132,0.211,114.957,"audio_features",24.86,25.212,50.072
"108","Albania","Suave",43,35,"Kevin Edmond","Suave",0.713,0.9,3,-4.133,0,0.0499,0.104,0,0.103,0.815,101.001,"audio_features",30.659,38.7,69.359
"109","Albania","Ca the ti",42,23,"Matolale","Ca the ti",0.851,0.79,0,-5.759,1,0.327,0.174,0,0.139,0.832,138.048,"audio_features",35.742,33.18,68.922
"110","Albania","Madonna",41,7,"Mozzik","Madonna",0.646,0.775,11,-4.054,1,0.083,0.291,0.264,0.0736,0.698,96.966,"audio_features",26.486,31.775,58.261
"111","Albania","QE QE",40,60,"Tayna","QE QE",0.64,0.784,7,-2.741,0,0.206,0.0678,0,0.0897,0.714,95.423,"audio_features",25.6,31.36,56.96
"112","Albania","Flex",39,43,"Capital T","Flex",0.452,0.768,7,-5.867,0,0.211,0.0346,5.39e-06,0.164,0.317,89.96,"audio_features",17.628,29.952,47.58
"113","Albania","FAVELA",38,52,"Dardan","FAVELA",0.851,0.797,0,-6.504,0,0.0483,0.0505,0,0.0535,0.741,120.021,"audio_features",32.338,30.286,62.624
"114","Albania","Pishmon",37,55,"Kida","Pishmon",0.778,0.771,0,-5.233,0,0.114,0.477,0,0.188,0.54,94.1,"audio_features",28.786,28.527,57.313
"115","Albania","Si Përpara",36,47,"Butrint Imeri","Si Përpara",0.556,0.683,2,-6.895,0,0.0654,0.0586,2.82e-05,0.285,0.744,195.947,"audio_features",20.016,24.588,44.604
"116","Albania","Million $",35,55,"Dafina Zeqiri","Million $",0.745,0.524,7,-7.211,0,0.0422,0.134,1.07e-05,0.131,0.483,66.689,"audio_features",26.075,18.34,44.415
"117","Albania","24 Bars",34,41,"Melinda Ademi","24 Bars",0.904,0.659,4,-6.608,0,0.325,0.202,0,0.312,0.639,100.299,"audio_features",30.736,22.406,53.142
"118","Albania","Vone",33,37,"Irkenc Hyka","Vone",0.638,0.662,10,-5.695,0,0.0794,0.19,0.000199,0.0519,0.728,150.127,"audio_features",21.054,21.846,42.9
"119","Albania","Prita (Acoustic)",32,38,"Butrint Imeri","Acoustic Sessions",0.487,0.464,7,-9.007,0,0.0419,0.864,1.29e-05,0.221,0.404,78.989,"audio_features",15.584,14.848,30.432
"120","Albania","Flawless",31,42,"Capital T","Flawless",0.853,0.696,8,-7.042,1,0.0761,0.114,0.275,0.0856,0.521,112.007,"audio_features",26.443,21.576,48.019
"121","Albania","BREAK DOWN",30,46,"Enca","BREAK DOWN",0.56,0.87,8,-5.222,1,0.257,0.0372,0.000986,0.209,0.652,199.932,"audio_features",16.8,26.1,42.9
"122","Albania","Gg",29,45,"Sin Boy","MM",0.691,0.699,8,-5.655,0,0.0549,0.686,0,0.0615,0.588,100.956,"audio_features",20.039,20.271,40.31
"123","Albania","Angst",28,60,"Loredana","Angst",0.833,0.677,2,-5.537,1,0.239,0.0284,0,0.0502,0.558,100.073,"audio_features",23.324,18.956,42.28
"124","Albania","Serenate",27,41,"Majk","Serenate",0.707,0.598,5,-7.759,0,0.174,0.528,0,0.0916,0.33,91.919,"audio_features",19.089,16.146,35.235
"125","Albania","Ku mete",26,39,"Enca","Ku mete",0.579,0.555,0,-9.272,0,0.102,0.337,4.28e-05,0.277,0.572,120.003,"audio_features",15.054,14.43,29.484
"126","Albania","All Dem Talk (feat. Gzuz & Dutchavelli)",25,60,"Noizy","All Dem Talk (feat. Gzuz & Dutchavelli)",0.803,0.553,10,-8.299,0,0.331,0.277,4.24e-06,0.0987,0.442,130.016,"audio_features",20.075,13.825,33.9
"127","Albania","Freestyle",24,41,"Don Xhoni","Freestyle",0.865,0.502,6,-12.643,0,0.37,0.18,0,0.0872,0.878,142.9,"audio_features",20.76,12.048,32.808
"128","Albania","Tjera Llafe",23,39,"Don Xhoni","Tjera Llafe",0.797,0.798,10,-5.654,0,0.176,0.104,0,0.101,0.56,130.074,"audio_features",18.331,18.354,36.685
"129","Albania","Paranoia",22,56,"Kida","Paranoia",0.697,0.805,11,-4.255,0,0.112,0.197,0.000153,0.0622,0.332,179.975,"audio_features",15.334,17.71,33.044
"130","Albania","Bass",21,48,"Tayna","Bass",0.598,0.897,11,-1.891,1,0.308,0.187,0,0.459,0.345,139.678,"audio_features",12.558,18.837,31.395
"131","Albania","Panorama",20,58,"Ardian Bujupi","Panorama",0.901,0.697,9,-5.569,0,0.0601,0.213,0,0.115,0.644,96.003,"audio_features",18.02,13.94,31.96
"132","Albania","BABY",19,48,"Mozzik","BABY",0.741,0.712,9,-6.437,0,0.0314,0.171,3.49e-06,0.108,0.877,131.044,"audio_features",14.079,13.528,27.607
"133","Albania","Dmp",18,48,"Capital T","Dmp",0.74,0.804,9,-6.973,0,0.185,0.122,7.35e-05,0.0819,0.693,100.061,"audio_features",13.32,14.472,27.792
"134","Albania","Xhep (feat. Dhurata Dora) [Remix]",17,45,"Azet","Xhep (feat. Dhurata Dora) [Remix]",0.647,0.877,2,-4.56,1,0.283,0.0484,0.000351,0.329,0.603,107.587,"audio_features",10.999,14.909,25.908
"135","Albania","Fajet",16,64,"Dhurata Dora","Fajet",0.88,0.805,2,-3.764,0,0.0594,0.0653,1.14e-05,0.124,0.524,96.991,"audio_features",14.08,12.88,26.96
"136","Albania","A jo",15,9,"Tayna","A jo",0.682,0.768,10,-3.278,0,0.0636,0.19,1.22e-05,0.229,0.97,92.974,"audio_features",10.23,11.52,21.75
"137","Albania","A Je Pendu",14,47,"Dafina Zeqiri","A Je Pendu",0.73,0.781,6,-3.586,0,0.0375,0.0414,0.00598,0.155,0.579,100.004,"audio_features",10.22,10.934,21.154
"138","Albania","Ferrari",13,17,"Dhurata Dora","Ferrari",0.723,0.669,7,-5.573,0,0.109,0.0933,0,0.114,0.603,179.877,"audio_features",9.399,8.697,18.096
"139","Albania","Aman",12,50,"Dafina Zeqiri","Aman",0.708,0.759,5,-5.916,0,0.208,0.118,1.18e-05,0.107,0.593,183.832,"audio_features",8.496,9.108,17.604
